origin,flights,avg_arr_delay,delayed_arrivals,cancelled,on_time_rate,cancellation_rate
ATL,26363.0,7.278623606305267,5457.0,272.0,0.7930053484049615,0.010317490422182605
DEN,24500.0,10.692584039004362,6107.0,1053.0,0.750734693877551,0.04297959183673469
DFW,23743.0,17.20694009056078,6971.0,667.0,0.7063976751042412,0.02809249041822853
ORD,22999.0,21.887241752553063,7126.0,1649.0,0.6901604417583374,0.0716987695117179
CLT,19126.0,11.75033377837116,4796.0,350.0,0.7492418697061591,0.018299696747882465
PHX,15573.0,7.732088865518601,3169.0,324.0,0.7965067745456881,0.02080523983818147
LAX,15341.0,5.31254218982044,2871.0,480.0,0.8128544423440454,0.03128870347434978
LAS,15053.0,6.1074013382493515,3179.0,378.0,0.7888128612236763,0.025111273500298945
MCO,14296.0,12.473634787633632,3702.0,418.0,0.7410464465584778,0.02923894795747062
SEA,13140.0,9.348006990097362,2881.0,1022.0,0.7807458143074582,0.07777777777777778
